event,level,capture_efficiency,risk_duration,ghost_proximity,input_density,survival_time,timestamp
trail_close,1,100.0,2.476,20.7,2,5.366,1778337004.282
trail_close,2,2.53,0.739,5.52,1,2.329,1778337006.611
trail_close,2,4.21,1.077,15.68,1,1.806,1778337008.417
trail_close,2,0.84,0.666,3.76,2,1.829,1778337010.246
trail_close,2,62.0,4.411,13.57,8,5.274,1778337015.52
trail_close,2,2.53,0.834,12.69,1,1.478,1778337016.997
trail_close,2,6.53,0.746,11.89,1,1.161,1778337018.158
trail_close,2,0.95,0.419,5.02,1,0.768,1778337018.927
trail_close,2,0.63,0.5,2.77,1,1.079,1778337020.005
trail_close,3,2.63,2.068,8.77,0,4.043,1778337024.048
trail_close,3,63.16,0.663,4.63,2,2.065,1778337026.113
trail_close,3,0.42,0.331,3.62,1,4.615,1778337030.727
trail_close,3,0.63,0.334,7.14,1,0.728,1778337031.456
trail_close,3,0.84,0.663,1.49,2,1.24,1778337032.695
trail_close,3,0.84,0.417,6.61,1,1.658,1778337034.353
trail_close,3,1.26,0.501,8.21,1,0.826,1778337035.179
trail_close,3,0.63,0.335,4.47,1,0.635,1778337035.814
trail_close,3,1.05,0.503,12.99,0,0.673,1778337036.486
trail_close,3,0.11,0.085,13.54,0,0.248,1778337036.734
trail_close,3,0.53,0.25,11.29,1,0.583,1778337037.317
trail_close,3,0.95,0.416,3.58,1,0.741,1778337038.058
trail_close,3,1.89,0.834,8.12,1,1.166,1778337039.224
trail_close,3,1.58,0.75,6.31,2,1.163,1778337040.387
trail_close,3,1.58,0.583,2.0,1,1.166,1778337041.554
trail_close,3,0.42,0.165,5.58,0,0.418,1778337041.971
player_death,3,78.53,0.298,0.89,1,0.383,1778337042.355
trail_close,3,1.26,0.493,7.76,1,1.656,1778337044.011
trail_close,3,0.84,0.417,9.87,1,0.828,1778337044.839
trail_close,4,3.79,2.993,24.46,4,4.389,1778337049.228
trail_close,4,2.63,0.747,13.73,1,1.367,1778337050.595
trail_close,4,5.26,0.834,18.75,0,0.917,1778337051.512
trail_close,4,10.95,0.168,1.96,0,1.379,1778337052.891
trail_close,4,0.21,0.348,2.37,1,0.428,1778337053.319
player_death,4,22.84,1.119,5.78,5,1.949,1778337055.268
trail_close,4,0.84,0.166,2.1,0,0.581,1778337055.849
trail_close,4,24.42,3.169,9.38,5,3.496,1778337059.346
player_death,4,48.11,1.766,5.92,1,2.68,1778337062.026
trail_close,4,8.0,0.991,3.76,1,3.258,1778337065.284
trail_close,4,0.74,0.584,4.43,2,1.161,1778337066.446
trail_close,4,1.26,0.573,6.97,1,1.649,1778337068.094
trail_close,4,2.84,2.553,7.48,6,4.95,1778337073.044
trail_close,4,0.42,0.083,7.65,0,0.415,1778337073.459
trail_close,4,11.05,1.173,3.36,1,1.507,1778337074.966
trail_close,4,0.11,0.081,6.9,0,0.495,1778337075.461
trail_close,4,3.79,1.318,10.45,0,2.849,1778337078.31
trail_close,4,2.53,0.83,8.24,1,1.323,1778337079.633
trail_close,4,6.21,0.664,4.29,0,1.079,1778337080.712
trail_close,5,1.89,0.829,7.02,3,2.104,1778337082.815
trail_close,5,3.05,2.402,13.55,1,3.113,1778337085.928
trail_close,5,3.16,0.835,6.79,1,1.45,1778337087.378
trail_close,5,0.42,0.337,6.68,1,0.419,1778337087.797
player_death,5,8.53,1.367,0.23,3,1.448,1778337089.246
trail_close,5,0.84,0.333,7.34,0,1.913,1778337091.158
trail_close,5,2.32,1.823,14.4,2,1.9,1778337093.059
trail_close,5,2.95,0.836,9.64,1,1.366,1778337094.424
trail_close,5,2.42,0.663,7.2,0,0.746,1778337095.171
trail_close,5,2.11,0.67,6.61,1,1.085,1778337096.255
trail_close,5,1.26,0.749,5.81,2,1.498,1778337097.753
trail_close,5,0.95,0.744,4.52,1,1.812,1778337099.565
trail_close,5,19.47,2.461,6.41,2,2.843,1778337102.408
trail_close,5,5.47,1.085,18.72,0,1.582,1778337103.99
trail_close,5,8.84,1.735,9.85,2,2.269,1778337106.259
trail_close,5,10.74,1.327,13.45,0,1.592,1778337107.851
trail_close,5,1.26,0.581,8.06,1,0.878,1778337108.729
trail_close,5,8.32,0.752,4.86,0,1.135,1778337109.864
trail_close,5,1.58,0.598,3.22,1,2.107,1778337111.971
trail_close,5,4.74,0.671,21.67,0,1.136,1778337113.108
trail_close,6,4.21,0.997,11.62,1,2.211,1778337115.319
trail_close,6,2.53,0.832,8.9,1,1.726,1778337117.045
trail_close,6,2.11,0.672,11.98,1,1.162,1778337118.207
trail_close,6,3.79,1.156,9.22,1,1.523,1778337119.73
trail_close,6,11.37,2.235,13.99,4,2.395,1778337122.125
player_death,6,24.0,0.0,0.27,0,0.678,1778337122.803
trail_close,6,1.58,0.584,15.52,1,2.39,1778337125.193
trail_close,6,34.95,2.303,22.15,6,3.295,1778337128.488
trail_close,6,39.47,1.407,27.5,2,1.887,1778337130.375
trail_close,7,4.53,1.25,11.91,3,2.551,1778337132.926
trail_close,7,6.84,1.418,10.97,0,3.197,1778337136.123
trail_close,7,2.63,0.751,16.88,1,1.158,1778337137.281
trail_close,7,2.84,0.995,5.87,1,1.759,1778337139.04
trail_close,7,2.74,0.919,7.71,3,2.75,1778337141.79
trail_close,7,2.53,1.491,3.52,4,1.656,1778337143.447
player_death,7,22.11,0.397,1.53,1,0.974,1778337144.421
trail_close,7,5.37,1.402,3.1,1,2.817,1778337147.238
player_death,7,27.47,0.962,0.87,1,1.461,1778337148.699
trail_close,7,7.58,1.737,3.66,1,3.14,1778337151.839
trail_close,7,3.79,1.469,8.53,5,1.934,1778337153.773
trail_close,7,5.89,1.165,12.71,1,2.533,1778337156.306
trail_close,7,6.32,1.248,7.3,1,2.578,1778337158.884
trail_close,7,1.26,0.502,4.0,1,0.746,1778337159.629
trail_close,7,0.32,0.247,7.36,0,0.41,1778337160.039
trail_close,7,0.42,0.333,11.54,1,0.579,1778337160.619
trail_close,7,4.32,1.251,10.18,2,1.589,1778337162.208
trail_close,7,4.11,1.411,12.26,4,1.826,1778337164.034
trail_close,7,0.63,0.416,2.94,2,0.831,1778337164.865
trail_close,7,0.21,0.237,6.3,2,0.653,1778337165.519
trail_close,7,2.74,1.071,2.2,3,2.1,1778337167.619
trail_close,7,0.42,0.252,2.3,1,1.019,1778337168.637
trail_close,7,0.11,0.084,9.07,0,0.429,1778337169.067
trail_close,7,1.89,0.831,10.8,2,2.164,1778337171.231
trail_close,7,0.84,0.17,10.77,0,0.977,1778337172.208
trail_close,7,1.05,0.843,5.52,3,3.894,1778337176.102
trail_close,7,0.42,0.25,4.47,1,0.666,1778337176.768
trail_close,7,0.63,0.329,4.22,1,1.11,1778337177.878
trail_close,7,0.32,0.25,7.88,1,0.747,1778337178.626
trail_close,7,5.37,0.91,4.32,0,2.388,1778337181.013
trail_close,7,0.74,0.251,2.79,1,2.189,1778337183.202
trail_close,7,1.26,0.495,5.89,1,2.513,1778337185.715
trail_close,7,1.68,1.032,9.07,1,5.067,1778337190.782
trail_close,7,2.11,0.41,9.15,0,4.543,1778337195.326
trail_close,8,21.05,2.078,8.8,0,3.576,1778337198.902
trail_close,8,2.21,0.873,8.66,1,4.938,1778337203.84
trail_close,8,0.63,0.501,1.91,1,1.181,1778337205.021
trail_close,8,10.42,1.56,10.73,1,3.212,1778337208.233
player_death,8,34.32,0.597,2.2,1,1.254,1778337209.487
trail_close,8,5.47,1.321,9.84,1,2.597,1778337212.084
trail_close,8,5.16,1.078,3.85,1,1.579,1778337213.663
trail_close,8,11.37,1.628,11.56,4,2.334,1778337215.997
trail_close,8,5.16,1.085,5.12,1,1.331,1778337217.327
trail_close,8,3.68,0.583,19.03,0,1.594,1778337218.921
trail_close,8,0.84,0.418,9.22,1,0.662,1778337219.583
trail_close,8,3.16,0.827,2.1,1,1.66,1778337221.243
trail_close,8,3.58,1.504,4.59,2,3.44,1778337224.683
trail_close,8,1.26,0.502,7.21,1,1.081,1778337225.764
trail_close,8,0.84,0.164,5.72,0,1.785,1778337227.549
trail_close,8,1.89,0.737,6.29,2,1.702,1778337229.251
trail_close,8,2.11,0.66,9.69,1,1.402,1778337230.654
trail_close,8,0.21,0.301,8.39,1,0.727,1778337231.381
trail_close,8,3.26,0.766,9.17,1,1.777,1778337233.158
trail_close,9,15.79,2.072,5.99,0,3.437,1778337236.595
trail_close,9,6.74,1.91,4.51,4,2.72,1778337239.315
trail_close,9,0.84,0.084,3.23,0,1.667,1778337240.982
trail_close,9,21.58,2.484,8.39,2,4.148,1778337245.13
trail_close,9,15.58,3.23,23.2,7,4.483,1778337249.613
trail_close,9,1.79,0.33,13.61,0,1.076,1778337250.689
player_death,9,62.32,0.649,0.25,2,1.249,1778337251.938
trail_close,9,3.79,0.905,4.05,1,2.251,1778337254.189
trail_close,9,2.95,0.579,14.45,0,1.334,1778337255.523
player_death,9,69.05,0.468,1.26,0,1.046,1778337256.568
trail_close,9,2.84,0.745,4.2,0,1.992,1778337258.56
trail_close,9,1.26,0.663,10.68,1,2.349,1778337260.909
trail_close,9,7.58,0.834,8.2,1,3.203,1778337264.112
trail_close,10,0.21,0.17,2.83,1,4.72,1778337268.831
trail_close,10,2.95,0.834,11.03,1,3.822,1778337272.653
trail_close,10,1.05,0.831,4.14,1,1.601,1778337274.254
trail_close,10,4.84,1.484,7.82,2,1.809,1778337276.063
trail_close,10,16.21,5.036,11.93,14,5.264,1778337281.327
trail_close,10,11.16,1.152,9.49,2,2.69,1778337284.017
trail_close,10,8.0,1.572,10.33,5,1.734,1778337285.75
trail_close,10,2.21,0.748,12.95,1,1.078,1778337286.828
trail_close,10,7.89,1.565,14.64,1,2.235,1778337289.063
trail_close,10,1.68,0.669,13.15,1,1.423,1778337290.486
trail_close,10,22.74,1.748,5.76,0,2.358,1778337292.844
trail_close,10,11.58,0.499,11.54,0,2.315,1778337295.159
