event,level,capture_efficiency,risk_duration,ghost_proximity,input_density,survival_time,timestamp
trail_close,12,0.74,0.584,3.12,1,0.998,1778337715.336
trail_close,12,7.58,1.319,9.79,1,3.129,1778337718.465
trail_close,12,6.0,1.578,5.53,3,2.66,1778337721.125
trail_close,12,0.42,0.249,6.62,1,3.152,1778337724.276
trail_close,12,0.42,0.34,3.94,1,1.364,1778337725.64
trail_close,12,67.68,3.877,22.58,7,4.752,1778337730.392
trail_close,13,0.63,0.496,3.26,1,6.846,1778337737.239
trail_close,13,4.84,2.44,7.07,3,7.592,1778337744.83
trail_close,13,5.26,1.496,14.13,2,6.328,1778337751.159
trail_close,13,28.63,1.411,8.12,0,1.491,1778337752.65
trail_close,13,1.89,0.254,4.57,0,0.833,1778337753.483
trail_close,13,4.53,1.752,3.62,5,1.836,1778337755.318
trail_close,13,0.84,0.669,3.43,0,1.077,1778337756.396
trail_close,13,16.42,1.982,10.13,1,2.495,1778337758.891
player_death,13,63.05,0.529,0.41,2,0.777,1778337759.668
trail_close,13,2.95,0.833,1.54,1,2.74,1778337762.408
trail_close,13,13.26,0.749,5.11,0,1.5,1778337763.908
trail_close,13,5.89,0.742,5.98,0,1.959,1778337765.867
trail_close,14,2.21,0.752,3.51,1,4.343,1778337770.21
trail_close,14,0.74,0.588,1.06,2,3.25,1778337773.461
trail_close,14,14.95,2.005,9.19,3,5.183,1778337778.644
trail_close,14,1.47,0.666,5.72,1,0.912,1778337779.555
trail_close,14,2.63,0.749,5.19,1,1.904,1778337781.46
trail_close,14,0.63,0.333,5.53,1,1.164,1778337782.624
trail_close,14,7.26,1.818,8.49,3,2.15,1778337784.774
trail_close,14,4.21,3.96,14.58,3,4.371,1778337789.145
player_death,14,34.11,0.464,2.56,1,1.475,1778337790.62
trail_close,14,0.95,0.417,2.83,1,1.362,1778337791.982
trail_close,14,0.84,0.419,5.28,1,0.917,1778337792.899
trail_close,14,0.74,3.765,4.02,4,6.882,1778337799.781
trail_close,14,5.68,1.164,10.26,1,2.525,1778337802.306
trail_close,14,9.89,2.321,8.01,5,5.865,1778337808.171
trail_close,14,3.89,0.346,3.26,0,2.309,1778337810.48
trail_close,14,4.42,0.986,7.41,1,2.859,1778337813.339
trail_close,14,0.42,0.246,2.06,1,2.514,1778337815.853
trail_close,14,4.32,0.738,4.74,0,2.352,1778337818.206
trail_close,14,2.42,0.746,5.74,0,3.514,1778337821.72
trail_close,14,1.05,0.414,5.01,0,1.5,1778337823.22
trail_close,14,0.63,0.334,3.72,1,1.099,1778337824.319
trail_close,14,0.84,0.418,5.26,1,0.784,1778337825.103
trail_close,14,0.74,0.419,4.0,1,0.971,1778337826.074
trail_close,14,0.32,0.25,3.71,1,1.248,1778337827.321
trail_close,14,0.74,0.332,2.77,1,0.915,1778337828.236
trail_close,14,3.68,0.897,5.2,1,3.272,1778337831.507
trail_close,14,2.11,0.668,5.26,1,1.335,1778337832.843
trail_close,14,3.16,1.002,3.02,3,1.266,1778337834.108
trail_close,15,13.16,2.056,3.14,0,3.673,1778337837.781
trail_close,15,3.47,1.082,7.34,1,1.723,1778337839.504
trail_close,15,7.26,2.054,11.06,1,3.49,1778337842.995
trail_close,15,8.11,1.419,9.13,1,3.075,1778337846.069
player_death,15,32.0,0.148,1.06,1,1.256,1778337847.325
trail_close,15,1.26,0.495,5.65,1,2.385,1778337849.711
trail_close,15,0.95,0.414,6.19,1,1.543,1778337851.253
trail_close,15,0.42,0.331,9.97,1,1.574,1778337852.828
trail_close,15,2.21,0.75,18.04,1,1.123,1778337853.951
trail_close,15,1.05,0.501,5.09,1,1.656,1778337855.607
trail_close,15,9.26,1.65,11.85,4,3.428,1778337859.035
trail_close,15,0.84,0.412,5.33,1,1.736,1778337860.771
trail_close,15,1.37,0.746,7.07,1,1.575,1778337862.346
trail_close,15,0.95,0.496,12.83,0,1.404,1778337863.75
trail_close,15,1.26,0.5,9.26,0,4.082,1778337867.831
trail_close,15,1.05,0.668,5.41,3,5.667,1778337873.499
trail_close,15,47.37,3.755,20.35,5,5.818,1778337879.317
trail_close,16,1.58,0.59,6.71,1,2.356,1778337881.673
trail_close,16,2.21,0.753,9.97,1,1.596,1778337883.269
trail_close,16,0.63,0.504,8.23,1,0.915,1778337884.184
trail_close,16,9.68,1.657,8.61,3,3.491,1778337887.675
trail_close,16,1.68,0.579,5.84,1,0.988,1778337888.664
trail_close,16,3.16,0.834,2.02,1,1.91,1778337890.573
trail_close,16,4.11,1.244,11.0,3,2.455,1778337893.028
trail_close,16,9.26,1.833,8.61,4,2.323,1778337895.351
trail_close,16,2.84,2.599,1.42,3,6.288,1778337901.639
trail_close,16,1.37,1.075,3.74,2,1.68,1778337903.319
trail_close,16,9.58,1.407,12.1,0,1.873,1778337905.192
trail_close,16,18.95,1.239,7.88,0,2.322,1778337907.514
trail_close,16,1.37,0.333,5.54,1,1.244,1778337908.758
trail_close,16,0.53,0.413,6.1,0,0.589,1778337909.347
trail_close,16,3.05,1.501,4.24,3,1.584,1778337910.93
trail_close,16,1.26,1.037,7.84,1,4.737,1778337915.668
trail_close,16,2.53,0.251,7.6,0,1.504,1778337917.171
trail_close,16,0.84,0.362,1.33,1,0.443,1778337917.614
player_death,16,74.63,0.418,2.06,1,1.599,1778337919.213
trail_close,16,1.68,0.578,6.73,1,4.946,1778337924.158
trail_close,16,1.68,0.571,4.59,1,2.804,1778337926.962
trail_close,16,0.84,0.497,5.33,1,0.745,1778337927.707
trail_close,16,16.21,1.886,4.77,4,5.776,1778337933.483
trail_close,17,2.53,0.739,12.41,1,5.4,1778337938.883
trail_close,17,2.63,1.091,7.42,2,1.583,1778337940.465
trail_close,17,2.11,0.826,9.49,0,2.297,1778337942.763
trail_close,17,0.95,0.749,0.99,2,2.067,1778337944.83
trail_close,17,0.21,0.167,1.71,0,1.333,1778337946.163
trail_close,17,7.37,1.572,9.64,4,2.23,1778337948.393
trail_close,17,5.89,1.239,8.96,1,1.725,1778337950.118
trail_close,17,15.05,1.989,15.5,2,2.069,1778337952.186
trail_close,17,1.47,0.665,10.76,1,0.976,1778337953.162
trail_close,17,5.37,0.737,8.62,1,2.432,1778337955.595
trail_close,17,2.53,0.829,9.51,1,1.407,1778337957.002
trail_close,17,0.42,0.484,4.14,1,1.01,1778337958.012
trail_close,17,10.0,1.406,12.46,1,1.737,1778337959.749
trail_close,17,0.42,0.331,14.19,1,1.248,1778337960.997
trail_close,17,0.63,0.329,8.43,1,1.565,1778337962.562
trail_close,17,9.58,1.572,11.67,2,3.221,1778337965.783
player_death,17,67.16,1.385,0.83,1,2.561,1778337968.344
trail_close,17,1.58,0.582,9.77,1,3.311,1778337971.655
trail_close,17,5.05,1.407,8.4,2,1.653,1778337973.308
player_death,17,73.79,0.812,3.39,0,1.043,1778337974.351
trail_close,17,3.16,2.632,5.3,8,6.296,1778337980.647
trail_close,17,12.63,1.242,2.65,2,1.901,1778337982.548
trail_close,18,6.74,1.502,11.01,3,2.994,1778337985.542
trail_close,18,3.37,0.914,10.42,1,2.865,1778337988.407
trail_close,18,24.74,2.942,4.62,6,4.833,1778337993.24
player_death,18,34.84,0.0,0.57,0,0.797,1778337994.037
trail_close,18,37.05,3.482,12.94,5,5.503,1778337999.54
trail_close,18,1.26,0.983,12.35,0,2.268,1778338001.809
trail_close,18,0.11,0.083,8.17,0,1.148,1778338002.957
trail_close,18,10.42,0.083,3.56,0,0.588,1778338003.544
trail_close,19,3.16,0.832,7.0,1,2.082,1778338005.626
trail_close,19,1.89,0.665,10.86,1,1.16,1778338006.786
trail_close,19,2.11,0.906,1.64,2,4.041,1778338010.827
player_death,19,7.16,0.986,6.91,3,5.61,1778338016.437
trail_close,19,4.21,0.835,3.52,0,1.967,1778338018.405
trail_close,19,0.74,0.579,1.99,1,1.656,1778338020.06
player_death,19,12.11,1.394,2.54,3,3.336,1778338023.397
trail_close,19,4.84,1.335,10.23,1,2.242,1778338025.639
trail_close,19,0.42,0.332,9.13,1,1.494,1778338027.133
trail_close,19,1.68,0.582,4.68,1,2.61,1778338029.744
trail_close,19,1.68,0.835,4.17,2,4.278,1778338034.021
trail_close,19,0.21,0.168,10.65,1,0.641,1778338034.662
trail_close,19,6.11,1.007,6.05,1,1.42,1778338036.082
trail_close,19,5.89,1.164,12.78,0,5.671,1778338041.753
trail_close,19,3.16,0.826,9.94,1,2.924,1778338044.676
trail_close,19,1.05,0.498,13.34,1,4.022,1778338048.698
trail_close,19,22.53,5.05,14.89,10,6.026,1778338054.724
trail_close,19,8.0,0.914,8.87,2,1.378,1778338056.102
trail_close,19,1.89,0.499,14.57,0,1.539,1778338057.641
trail_close,19,8.84,0.828,3.34,1,5.308,1778338062.949
trail_close,19,0.53,0.418,4.82,0,1.15,1778338064.098
trail_close,19,1.37,0.578,5.58,2,2.484,1778338066.582
player_death,20,0.0,0.0,0.75,0,4.157,1778338070.739
player_death,20,0.0,0.0,1.87,0,11.664,1778338082.403
trail_close,20,2.21,0.752,8.7,1,4.998,1778338087.401
trail_close,20,1.68,0.59,11.75,1,1.439,1778338088.84
trail_close,20,4.11,1.235,14.8,1,5.98,1778338094.82
trail_close,20,1.47,1.524,5.12,2,4.58,1778338099.4
trail_close,20,1.05,0.836,2.52,1,5.887,1778338105.287
trail_close,20,1.37,1.408,3.33,1,6.31,1778338111.597
player_death,20,11.89,0.0,2.0,0,3.96,1778338115.557
